remains 			[ 2.68762631e-04  1.99326786e+03 -8.04826919e-06 -4.34589125e-05]
unsurprising 			[-5.30341941e-05  1.98953542e+03  1.76600780e+00  6.10816762e-05]
embrace 			[-3.59035920e-05  2.00242271e+03 -5.31553128e-01  4.24376994e-05]
poses 			[-3.07878947e-05  1.99386023e+03  3.17777881e+00  3.70465278e-05]
attention 			[3.41818381e-04 1.98991529e+03 8.88272934e-01 8.13922731e-06]
republicanism 			[-2.85344626e-04  1.99120887e+03  1.40203934e+01  2.97943114e-04]
realm 			[-4.09056709e-05  1.99432865e+03  3.42274373e+00  4.87512454e-05]
participation 			[-3.00657935e-04  1.98810996e+03  3.54610392e-01  3.28719889e-04]
pathologies 			[-3.29612625e-05  1.99097636e+03  3.20602695e+01  4.09693904e-05]
moderately 			[2.38185055e-05 1.99815940e+03 1.41099908e+01 2.64738530e-06]
explores 			[4.69233223e-05 2.00028381e+03 7.13527987e-01 1.13694779e-05]
backdrop 			[-5.19985238e-05  1.99169748e+03  1.65545976e+00  5.68025422e-05]
classical 			[-1.04464351e-04  1.99101783e+03  2.30003257e+01  1.15765471e-04]
fragmentation 			[1.73050147e-05 1.99893503e+03 1.34689165e+01 1.40838742e-06]
diminish 			[-3.57368876e-05  2.00028333e+03  4.88343045e-01  4.00352012e-05]
enacting 			[-9.10520800e-05  1.98996139e+03  2.51704356e+01  1.06323833e-04]
versus 			[1.09937219e-04 1.99990746e+03 2.90870265e-01 1.27604061e-05]
intended 			[-2.86201199e-04  1.99185248e+03  1.73836457e-01  3.42905997e-04]
sphere 			[-8.89503355e-05  1.99436358e+03  2.41595727e+00  1.09013586e-04]
characterized 			[-7.53246276e-05  1.99512416e+03  3.38280203e-01  9.00043388e-05]
category 			[-1.99341637e-04  2.00089537e+03  3.82617934e-01  2.26142916e-04]
traders 			[3.99430350e-05 2.00305019e+03 1.10303028e+01 3.77696313e-06]
nomination 			[-3.66320083e-05  1.99259461e+03  3.25540240e+01  3.89482892e-05]
partisanship 			[-3.67155192e-05  1.99301172e+03  2.54461538e+01  4.35551446e-05]
neutrality 			[-3.04614817e-04  1.99300630e+03  2.55755020e+01  3.21536700e-04]
continuity 			[-3.72523566e-05  1.99177080e+03  2.00023131e+00  4.12571720e-05]
interest-group 			[-1.75399688e-04  1.98908654e+03  2.29811071e-01  1.86939390e-04]
deals 			[-1.80613491e-04  1.98992913e+03  3.01887496e+01  2.11927404e-04]
low-probability 			[2.98131181e-05 2.00064103e+03 3.30081552e+01 5.23919515e-06]
events 			[8.41232540e-05 1.99185837e+03 5.38633371e-01 2.65225024e-06]
highway 			[5.40138180e-05 1.99833742e+03 3.56671269e+01 9.14847445e-06]
accidents 			[6.19323890e-05 1.99600728e+03 1.30125872e+01 6.94698473e-06]
perpetuate 			[-3.02106709e-05  1.99199031e+03  1.20473399e+01  3.56825072e-05]
experts 			[2.33686655e-04 1.99729390e+03 1.02943477e+00 8.95049901e-06]
equipped 			[-1.68466315e-05  1.99903971e+03  9.53342457e+00  2.01210586e-05]
arena 			[-2.52809455e-05  2.00132762e+03  4.13229557e-01  2.30156880e-05]
valuation 			[-2.09985272e-04  1.99246347e+03 -3.52705606e+01  2.25957840e-04]
granted 			[-7.79300679e-05  1.99932161e+03  7.82298793e-01  8.98647824e-05]
bureaucratic 			[-2.35222120e-05  1.99780483e+03  6.27140771e+00  2.61578409e-05]
award 			[1.14084506e-04 1.99637512e+03 4.26165539e+01 2.05752721e-05]
distorting 			[-2.00913465e-05  1.99445375e+03  6.71411516e-01  2.46818807e-05]
carcinogens 			[-5.53462895e-05  1.99182580e+03  2.82070862e+00  6.45738442e-05]
approached 			[-3.30022500e-05  1.99076338e+03  5.57923228e-01  3.71415628e-05]
predictable 			[5.25716877e-05 1.98905720e+03 2.61965237e+01 1.29900496e-05]
clause 			[-1.21144519e-03  1.98823341e+03  3.02243843e-01  1.40073976e-03]
pre-new 			[-3.65199837e-05  1.99441770e+03  8.29308935e-01  3.71872974e-05]
findings 			[1.45961733e-04 1.99600004e+03 3.16248381e+01 1.52644248e-05]
invisible 			[-5.00964760e-05  1.99093827e+03  1.40366651e+01  6.23073665e-05]
imposition 			[-4.22080968e-05  1.99393151e+03  1.86303668e+00  5.12810093e-05]
structures 			[-3.49484965e-05  1.99499265e+03  2.61247656e+01  4.09464456e-05]
commissions 			[5.02950376e-05 1.99943470e+03 1.90254348e+00 8.16502284e-06]
plan 			[2.06868121e-04 2.00200685e+03 1.36231209e+01 4.74160135e-05]
spend 			[6.90201122e-05 1.99350312e+03 5.66410198e-01 9.34877931e-06]
considered 			[-1.43921662e-04  2.00365769e+03  5.59860568e-01  1.46787600e-04]
comparative 			[-5.41929165e-05  2.00307548e+03  5.78928621e-01  5.61421606e-05]
disadvantages 			[-2.94609114e-05  1.99500824e+03  3.44150325e+01  3.44512350e-05]
vindicate 			[-6.96274012e-05  1.99294007e+03  9.81854671e+00  8.51921216e-05]
puzzle 			[3.35759001e-05 1.98911734e+03 7.20118115e-01 5.30579825e-06]
1940 			[-3.23433140e-05  1.99206777e+03  9.11353198e+00  3.58419194e-05]
attitude 			[2.95721088e-05 1.99489040e+03 1.09612199e+00 6.50002387e-06]
urge 			[1.12954462e-04 1.99682261e+03 3.71287759e-01 5.26663479e-06]
employees 			[3.81644948e-04 1.99906175e+03 2.56157917e+01 4.43725718e-05]
reveals 			[-5.15142027e-05  1.99096103e+03  1.53970174e+00  6.40954727e-05]
biases 			[1.43659364e-04 2.00015374e+03 5.14084281e-01 2.34840719e-05]
external 			[-4.16840526e-05  2.00194248e+03  9.21479589e+00  4.24464934e-05]
analyses 			[4.04064707e-05 1.99572473e+03 2.45935013e+00 7.93642442e-06]
variation 			[5.06892103e-05 2.00252986e+03 3.39336832e-01 6.16501019e-06]
accord 			[-4.67070108e-05  1.99053025e+03  6.97888161e-01  5.64064556e-05]
carcinogen 			[-2.91711866e-05  1.99170212e+03  3.10070297e+00  3.36212572e-05]
aim 			[2.20994372e-05 1.98904683e+03 1.95587283e-01 1.08052890e-06]
antidiscrimination 			[-7.34086901e-05  1.99489557e+03  1.00147049e+01  8.05124743e-05]
exclusively 			[-3.81378215e-05  1.99515661e+03  7.84760447e-01  4.09239436e-05]
fidelity 			[-4.14683994e-05  1.99499703e+03  2.86292158e+01  5.06763979e-05]
deference 			[-4.29736747e-04  1.99089370e+03  2.74436028e+01  5.14454369e-04]
defer 			[-9.58329221e-05  1.99035157e+03  3.03809640e+01  1.19770464e-04]
define 			[-6.11604409e-05  1.99519422e+03  2.19983007e-01  7.34058874e-05]
mean 			[2.83073010e-04 1.98971410e+03 5.98012919e-01 7.05539344e-05]
errors 			[1.61577404e-04 1.99602876e+03 1.32197542e+01 3.10691066e-05]
impermissible 			[-1.01856375e-04  1.99398513e+03  1.22169823e+01  1.11990378e-04]
insurance 			[7.62792836e-05 1.99950145e+03 2.14463681e+00 1.37389599e-05]
automatic 			[6.96390103e-05 2.00201300e+03 1.24495825e+01 7.59117512e-06]
driving 			[6.76455195e-05 1.99651291e+03 3.34523261e+00 6.97246543e-06]
imagine 			[2.23152070e-04 1.99738458e+03 3.67555756e-01 5.18028131e-05]
specialists 			[2.20565863e-05 2.00002841e+03 1.33998774e+01 4.76199265e-06]
standing 			[-1.47224277e-03  1.99093301e+03  3.76511043e-01  1.51873240e-03]
redress 			[-1.11265085e-04  1.99069883e+03  4.92459210e-01  1.12900326e-04]
availability 			[5.37269961e-04 2.00157470e+03 3.05889573e-01 3.13698524e-05]
cognizable 			[-1.45352256e-04  1.98889405e+03  2.25362741e+01  1.55806817e-04]
systemic 			[-1.23211297e-04  1.99212313e+03  2.13977256e+00  1.47412656e-04]
injuries 			[-1.28548559e-04  1.99595593e+03  2.86156845e-01  1.34168183e-04]
hypothesis 			[1.20603103e-04 1.99775003e+03 2.52803623e-01 1.08394045e-05]
threshold 			[4.27404957e-05 1.99700241e+03 1.72617489e+01 9.82462697e-06]
unfairness 			[2.06094256e-05 1.99605668e+03 9.22156045e+00 4.00497828e-06]
suits 			[-1.13020866e-04  1.99390332e+03  2.44463457e+01  1.39470710e-04]
told 			[4.98488177e-05 1.99409102e+03 5.08589547e-01 1.22318659e-05]
delaney 			[-1.06404144e-04  1.99090414e+03  2.45933981e+01  1.20736111e-04]
drinking 			[1.02311026e-04 1.99929832e+03 2.70197198e+00 1.19413574e-05]
desires 			[-1.77484257e-04  1.99266020e+03  2.59415665e+00  1.99735902e-04]
accuracy 			[6.11862299e-05 1.99950635e+03 3.78169080e-01 3.46074311e-06]
choosing 			[8.87126213e-05 1.99801273e+03 3.41932381e-01 1.54228885e-05]
composition 			[3.47278415e-05 2.00200893e+03 3.27430824e+01 8.22827998e-06]
beneficiary 			[-2.57656799e-05  1.99311221e+03  2.22025297e+01  2.92716732e-05]
incompatible 			[-2.43683567e-05  1.99384589e+03  5.64765552e-01  2.88272660e-05]
illegal 			[-2.67399989e-05  1.99880928e+03  1.10124807e+01  2.98114392e-05]
appointment 			[-5.23606860e-05  1.99491726e+03  1.15408359e+01  6.10852292e-05]
norm 			[-1.53836075e-04  1.99697834e+03  2.64700181e+01  1.89731527e-04]
inclined 			[5.64829892e-05 1.99932436e+03 2.64483666e+00 8.74882598e-06]
distributed 			[2.53368006e-05 1.99406051e+03 2.60238918e+01 4.79445550e-06]
expression 			[-2.32105760e-04  1.99525703e+03  2.36892688e+00  2.55617279e-04]
appropriations 			[-8.84114235e-05  1.99059413e+03  3.14486079e+01  9.42119246e-05]
prohibits 			[-2.43103283e-05  1.99416058e+03  2.68807239e+01  2.61130599e-05]
interpretive 			[-7.45596283e-04  1.99094412e+03  1.45043396e+01  8.46962704e-04]
domain 			[2.10441670e-04 2.00206333e+03 9.18419196e-01 4.33584539e-05]
revival 			[-5.77756063e-05  1.99131264e+03  5.87156783e+00  6.35705226e-05]
indeterminacy 			[-5.52815232e-05  1.98988366e+03  2.72946214e+01  6.31319513e-05]
traceable 			[-4.72022462e-05  1.99097039e+03  2.68334247e+01  5.10362342e-05]
ftc 			[-3.62737038e-05  1.99073267e+03  2.99051073e+01  4.25607271e-05]
